t,p_x,p_y,p_z
3.96,4.8295560667409845,3.88309736781935,4.583941045802445
4.0,4.861303144671787,3.8497226590263436,4.575325602444108
4.04,4.892347171366292,3.813214134197919,4.566340578792691
4.08,4.922841894697984,3.773841205730997,4.55707837411014
4.12,4.952917863388996,3.731878890537441,4.547625424710554
4.16,4.982689828998276,3.687596097450986,4.538057689538464
4.2,5.012247068640052,3.6412499731206793,4.528442272504494
4.24,5.0416667319741935,3.5930894584921225,4.5188417109838435
4.28,5.071001644136621,3.543351725161762,4.509311602689971
4.32,5.100283955367291,3.4922615851155103,4.499901432790769
4.36,5.129527900656974,3.4400174565770296,4.490654374953269
4.4,5.1587351413342715,3.38678802320642,4.4816066106570505
4.44,5.187898083842115,3.332722680552771,4.472790629608715
4.48,5.2169927161404805,3.2779460557505216,4.4642354735348775
4.5200000000000005,5.245978280037115,3.2225596344117067,4.455965725684025
4.5600000000000005,5.274816189450566,3.166650642670156,4.448001268855012
4.6000000000000005,5.3034726977734605,3.110297849924281,4.440359739473031
4.64,5.331910622750937,3.0535687204003494,4.433058372008729
4.68,5.360081724471849,2.996519650463478,4.426111325971664
4.72,5.3879365478238395,2.939207010988017,4.41953268756615
4.76,5.415430525947772,2.881687093260603,4.413336213965922
4.8,5.442519940834247,2.8238455284431434,4.4075294757700405
4.84,5.469151770243876,2.7653551725362826,4.402105591059422
4.88,5.495272537469562,2.705998151578307,4.397058293030715
4.92,5.520837311957846,2.6455883298098333,4.39237662237993
4.96,5.545808816945628,2.5840143907053394,4.3880522312581585
5.0,5.57015422874645,2.521187369895367,4.38407655826927
5.04,5.593847463519451,2.4570746808653507,4.380446701595342
5.08,5.616872569153487,2.391666903836231,4.377162797665373
5.12,5.639228094319219,2.3250028483294947,4.3742288336289326
5.16,5.660910235401566,2.2571391801846588,4.371647649395412
5.2,5.681916820059812,2.1881683104704233,4.369424852628141
5.24,5.702249294207665,2.118197106431684,4.367566974014577
5.28,5.721916189708044,2.0473554276232027,4.366081286655586
5.32,5.74093097498361,1.9757722364679506,4.364971693252345
5.36,5.759310227495954,1.9035799688136945,4.364240794896802
5.4,5.777072913408521,1.8309151980870984,4.363890435836025
5.44,5.794239981822084,1.757922913947444,4.3639208376783
5.48,5.810830114890073,1.6847563094316325,4.364331853012287
5.5200000000000005,5.826872598878292,1.6115668187655616,4.365120370790094
5.5600000000000005,5.842402622937329,1.5384889622323608,4.366282042151461
5.6000000000000005,5.85746103208606,1.4656478518948193,4.367810936735765
5.64,5.872084225896998,1.3931518151344744,4.369700800521615
5.68,5.886314532100272,1.3210984089246922,4.3719439686232615
5.72,5.900194325749304,1.2495658534141512,4.374532100060624
5.76,5.913769276025601,1.1786253069001644,4.377455974532208
5.8,5.927071337862152,1.1083510288673526,4.38070327152868
5.84,5.940131660938845,1.0389806747936572,4.384254910449983
5.88,5.952986565820862,0.9709355953800075,4.38807819990262
5.92,5.965666644344277,0.9045105929436146,4.392142726840537
5.96,5.978200066430409,0.8399555247836203,4.396415499595514
6.0,5.990619597301648,0.7774376470906582,4.400869527635606
6.04,6.002956886490114,0.7170820932473676,4.405428892699768
6.08,6.015231762206149,0.6586757701616409,4.410076691123671
6.12,6.027445686438005,0.6016343556873655,4.414856269189391
6.16,6.039601524451487,0.5454905059223496,4.419789544535512
6.2,6.051691435176073,0.4898069494839918,4.424881366811669
6.24,6.063710556132459,0.43424561648230114,4.430127635472343
6.28,6.0756538116331456,0.3785201897910972,4.435517215513427
6.32,6.087511116567493,0.32242801930461784,4.441038325742356
6.36,6.099265587093395,0.2658016089668488,4.446677394577852
6.4,6.110902567358821,0.20852821840009322,4.452422185546989
6.44,6.122404390060753,0.15052631975500252,4.458260580668115
6.48,6.133751474357956,0.09177230227971539,4.464184113259106
6.5200000000000005,6.144923764616159,0.03227835318150818,4.470187884915099
6.5600000000000005,6.155898454817684,-0.027897984897352728,4.476268510219162
6.6000000000000005,6.166646271371684,-0.08870523588498301,4.4828985922558005
6.640000000000001,6.177405391804892,-0.14990989246538353,4.490343204856591
6.68,6.188741064152452,-0.21106416815862572,4.498554866114352
6.72,6.201047587372147,-0.27181048299236116,4.507474817515738
6.76,6.21466138311918,-0.3318285090258366,4.517029665228446
6.8,6.22979381881192,-0.3908711285292264,4.5271495035593325
6.84,6.246610198214254,-0.4487232534429156,4.537764664776434
6.88,6.265195151917805,-0.505231960216973,4.548816291331626
6.92,6.285590600984783,-0.5602722324531605,4.560250997410624
6.96,6.3077654557843275,-0.6137685187144521,4.572028171609084
7.0,6.331665315694741,-0.6656816998889159,4.584113517336277
7.04,6.357187944087848,-0.7160023179877161,4.5964816624451785
7.08,6.384222625521307,-0.7647375442623471,4.609110584593193
7.12,6.4126294878361,-0.8119133839449348,4.621983097392494
7.16,6.442258270161255,-0.8575715781918702,4.63508559008422
7.2,6.47293776429995,-0.901788628296059,4.648240309729453
7.24,6.504685621871892,-0.9440697736536675,4.6612698898122575
7.28,6.537753566438681,-0.9832307214357077,4.6739453708876795
7.32,6.572276676748539,-1.018478213969191,4.686078534921964
7.36,6.608344971532196,-1.0491599589275957,4.697462014997249
7.4,6.6459658678672655,-1.0748971321514982,4.70796751942133
